Address,Price,ML_Price_Estimate,Price_$,ML_Price_Estimate_$
33 Newman St,1400000.0,1461792.3506980112,"$1,400,000","$1,461,792"
487 Victoria St,850000.0,1133467.217140424,"$850,000","$1,133,467"
1 Victoria St,1150000.0,1337362.764887119,"$1,150,000","$1,337,363"
3 Florida Ct,525000.0,559114.7838290397,"$525,000","$559,115"
7 Gordon St,740000.0,968803.517123655,"$740,000","$968,804"
7/27 Princeton Tce,340000.0,450882.15062673995,"$340,000","$450,882"
12 Andrews St,1265000.0,1522505.0392852917,"$1,265,000","$1,522,505"
26 Cromwell St,1000000.0,1105396.0581511355,"$1,000,000","$1,105,396"
1/451 Highbury Rd,1460000.0,1051457.6374541344,"$1,460,000","$1,051,458"
2/451 Highbury Rd,1200000.0,1051457.6374541344,"$1,200,000","$1,051,458"
19 Lincoln St,935000.0,1141726.3849221151,"$935,000","$1,141,726"
2/2 Sitar Ct,780000.0,801878.7058246153,"$780,000","$801,879"
1/565 Burke Rd,868000.0,654482.3215813743,"$868,000","$654,482"
1/17 Hollsmoor Rd,1375000.0,1300090.5003113279,"$1,375,000","$1,300,091"
1a Mabel St,1235000.0,1364543.2008695176,"$1,235,000","$1,364,543"
36 Spencer Rd,1510000.0,1732809.8200551216,"$1,510,000","$1,732,810"
38 Spencer Rd,1520000.0,1732809.8200551216,"$1,520,000","$1,732,810"
3/7 Stanhope Gr,835000.0,654482.3215813743,"$835,000","$654,482"
5/1295 Toorak Rd,495000.0,654482.3215813743,"$495,000","$654,482"
9 Webster St,2100500.0,2172091.625231597,"$2,100,500","$2,172,092"
16 Parlington St,3300000.0,2522717.25410385,"$3,300,000","$2,522,717"
787 Rathdowne St,1470000.0,1130967.266251204,"$1,470,000","$1,130,967"
79 Wilson St,2410000.0,1404518.183805654,"$2,410,000","$1,404,518"
2 Milton St,1775000.0,1571499.5476757681,"$1,775,000","$1,571,500"
9/80 Woornack Rd,295000.0,400222.3935634236,"$295,000","$400,222"
26 Bursaria Dr,629000.0,828051.7037363707,"$629,000","$828,052"
17 The Entrance,406000.0,487254.72452700214,"$406,000","$487,255"
13 Wright St,825000.0,801054.404005122,"$825,000","$801,054"
67 Gamble Rd,581500.0,730424.6607686923,"$581,500","$730,425"
15 Grange Rd,1400000.0,1345384.8276516781,"$1,400,000","$1,345,385"
498 Kooyong Rd,1538000.0,1252966.7208164944,"$1,538,000","$1,252,967"
10 Myora Ct,1354000.0,1056665.1347158023,"$1,354,000","$1,056,665"
29c Ella Gr,886000.0,692988.9418597854,"$886,000","$692,989"
33 Dunstan St,4000000.0,1359585.6731022508,"$4,000,000","$1,359,586"
9B Hourigan Av,1010000.0,1045014.6082090093,"$1,010,000","$1,045,015"
3/32 Madeleine Rd,697500.0,761977.2538058136,"$697,500","$761,977"
24 Kitson Rd,800000.0,872052.6187125192,"$800,000","$872,053"
6/37 Groom St,1805000.0,1401986.6165934948,"$1,805,000","$1,401,987"
208 Noone St,1400000.0,1401986.6165934948,"$1,400,000","$1,401,987"
253 Bell St,1032500.0,1069426.8085237758,"$1,032,500","$1,069,427"
100 Clarendon St,1070000.0,1069426.8085237758,"$1,070,000","$1,069,427"
116 Gordon St,1005000.0,1069426.8085237758,"$1,005,000","$1,069,427"
43 Linda St,905000.0,900624.7811251025,"$905,000","$900,625"
8/2 McKay St,412000.0,504448.5264693725,"$412,000","$504,449"
30 Quarry Cct,333000.0,332787.477738639,"$333,000","$332,787"
7 Railway Pl,797500.0,900624.7811251025,"$797,500","$900,625"
3/3 Wardens Wk,430000.0,504448.5264693725,"$430,000","$504,449"
23 Ida St,490000.0,593121.1314135869,"$490,000","$593,121"
64 Ronald St,960000.0,1193060.481987911,"$960,000","$1,193,060"
2/136 Oxford St,960000.0,674955.0901173204,"$960,000","$674,955"
7A Amstel St,356500.0,523508.1211894783,"$356,500","$523,508"
4 Meadowbank Ct,580500.0,620261.7698140823,"$580,500","$620,262"
163 Newbury Bvd,573000.0,523508.1211894783,"$573,000","$523,508"
16 Serenity Wy,475000.0,620261.7698140823,"$475,000","$620,262"
226 Windrock Av,385000.0,488896.56396853615,"$385,000","$488,897"
22 Horsfield St,475000.0,646264.5065963152,"$475,000","$646,265"
174A Lincoln Rd,744000.0,690628.4097410173,"$744,000","$690,628"
1 Robinson St,746000.0,752040.8570471212,"$746,000","$752,041"
59 Wicklow Av,965000.0,752040.8570471212,"$965,000","$752,041"
31 Phillip St,455500.0,613515.2298503511,"$455,500","$613,515"
10 Aratula St,800000.0,681586.0683231053,"$800,000","$681,586"
24 Grandview Av,610000.0,681586.0683231053,"$610,000","$681,586"
4/3 Rhoden Ct,307000.0,462199.45879255625,"$307,000","$462,199"
19 Terry St,1610000.0,1364543.2008695176,"$1,610,000","$1,364,543"
20 Davitt Dr,589000.0,821902.5076788951,"$589,000","$821,903"
20 Doherty St,603000.0,756487.0971116546,"$603,000","$756,487"
1/25 Yeats Dr,335000.0,584563.7623886592,"$335,000","$584,564"
27 Fairview Cr,730000.0,790260.9367970334,"$730,000","$790,261"
6 Balcombe Pl,920000.0,985734.0517902134,"$920,000","$985,734"
4 Bayville Dr,770000.0,860155.1081477057,"$770,000","$860,155"
17 Emery Dr,1140000.0,985734.0517902134,"$1,140,000","$985,734"
34 Marcus Rd,910000.0,985734.0517902134,"$910,000","$985,734"
16 Toorak Dr,883850.0,985734.0517902134,"$883,850","$985,734"
73 Ayr St,1556000.0,1280096.206900851,"$1,556,000","$1,280,096"
48 Blackburn Rd,1249000.0,1280646.955079722,"$1,249,000","$1,280,647"
2/3 Elizabeth St,950000.0,896041.3839110623,"$950,000","$896,041"
1/60 Franklin Rd,820000.0,896041.3839110623,"$820,000","$896,041"
58 Huntingfield Dr,1730000.0,1280646.955079722,"$1,730,000","$1,280,647"
11 Chaim Ct,1260000.0,1054221.4776766705,"$1,260,000","$1,054,221"
13 Hillcrest Ct,1300000.0,1210642.0924798425,"$1,300,000","$1,210,642"
22 Ormond Rd,1820000.0,1181515.1949161808,"$1,820,000","$1,181,515"
16/246 Albert St,675000.0,520790.6837146013,"$675,000","$520,791"
138 Powlett St,4150000.0,1733634.0526816994,"$4,150,000","$1,733,634"
17 Joffre Av,1130000.0,832325.8948425964,"$1,130,000","$832,326"
29 Downshire Rd,1683000.0,1192364.9524683612,"$1,683,000","$1,192,365"
2 Park St,2250000.0,1453591.5255757722,"$2,250,000","$1,453,592"
14 Floriston Gr,840500.0,770995.512529784,"$840,500","$770,996"
14 Lamorna Ct,900000.0,770995.512529784,"$900,000","$770,996"
89 Napoleon St,837000.0,770995.512529784,"$837,000","$770,996"
34 Weidlich Rd,1000000.0,790260.9367970334,"$1,000,000","$790,261"
15/125 Ormond Rd,800000.0,624745.294013032,"$800,000","$624,745"
3/22 Shelley St,805000.0,624745.294013032,"$805,000","$624,745"
68 Tennyson St,2985000.0,1741069.0364039522,"$2,985,000","$1,741,069"
6 Fleming Cl,690000.0,730424.6607686923,"$690,000","$730,425"
50 Farmhouse Bvd,497000.0,583538.8826161502,"$497,000","$583,539"
24 Guinea Ct,507500.0,583538.8826161502,"$507,500","$583,539"
29 Inverloch St,1010000.0,793339.9631936492,"$1,010,000","$793,340"
40 Bradshaw St,1930000.0,1500307.986622207,"$1,930,000","$1,500,308"
118 Deakin St,1399000.0,1500307.986622207,"$1,399,000","$1,500,308"
23 Gilbertson St,1512000.0,1173233.829607686,"$1,512,000","$1,173,234"
12 McCarron Pde,2000000.0,1500307.986622207,"$2,000,000","$1,500,308"
6/46 Richardson St,552000.0,849041.6303741857,"$552,000","$849,042"
12/25 Winifred St,860000.0,562862.5201581146,"$860,000","$562,863"
2B Cowper St,946000.0,1344094.7553971398,"$946,000","$1,344,095"
32 Garnet St,1430000.0,1173233.829607686,"$1,430,000","$1,173,234"
232 Darebin Rd,1270000.0,1554391.2750482333,"$1,270,000","$1,554,391"
13 Birchwood St,635000.0,652798.0391906642,"$635,000","$652,798"
22 Emma St,630000.0,652798.0391906642,"$630,000","$652,798"
9 Emma St,705000.0,652798.0391906642,"$705,000","$652,798"
13 Minona St,625000.0,575693.4010731993,"$625,000","$575,693"
2 California Cr,665508.0,681586.0683231053,"$665,508","$681,586"
32 Gaydon St,691000.0,681586.0683231053,"$691,000","$681,586"
12 Kingston St,815000.0,762431.7234919241,"$815,000","$762,432"
50 Wattletree Rd,730000.0,681586.0683231053,"$730,000","$681,586"
7/19 Victoria St,720000.0,483006.89513041533,"$720,000","$483,007"
64 Barkly St,1890000.0,1452250.854171714,"$1,890,000","$1,452,251"
6 Ivan St,1454000.0,1452250.854171714,"$1,454,000","$1,452,251"
123 Miller St,2061000.0,1765556.0358766865,"$2,061,000","$1,765,556"
497 Napier St,1310000.0,1452250.854171714,"$1,310,000","$1,452,251"
5/240 Queens Pde,995000.0,675637.4998544113,"$995,000","$675,637"
88 Rowe St,3259000.0,1765556.0358766865,"$3,259,000","$1,765,556"
53 Tait St,1325000.0,1178699.936617264,"$1,325,000","$1,178,700"
509/250 Barkly St,331000.0,261352.0879018671,"$331,000","$261,352"
3 Railway Pl,1000000.0,1021691.4870811041,"$1,000,000","$1,021,691"
12 Swan St,771000.0,620035.4071418884,"$771,000","$620,035"
4 Lowana Cr,1260000.0,954678.7363340755,"$1,260,000","$954,679"
21 Glenview Cr,508000.0,655310.6808632171,"$508,000","$655,311"
6 Yuille St,501500.0,609642.8745528174,"$501,500","$609,643"
5 Silvertop St,450000.0,655310.6808632171,"$450,000","$655,311"
56 Christopher Dr,351000.0,773739.3443658495,"$351,000","$773,739"
6 Reeves Cl,650000.0,836428.3391509715,"$650,000","$836,428"
18 Creswick St,3730000.0,1732809.8200551216,"$3,730,000","$1,732,810"
2A Dundas St,1225000.0,1732809.8200551216,"$1,225,000","$1,732,810"
14b Lithgow St,1500000.0,2172091.625231597,"$1,500,000","$2,172,092"
2/97 Bogong Av,1100080.0,1082359.7977052599,"$1,100,080","$1,082,360"
16 Botanic Dr,1520000.0,1293272.8639537364,"$1,520,000","$1,293,273"
28 Edith St,1716000.0,1513700.1410968776,"$1,716,000","$1,513,700"
40 Fraser St,1100000.0,1452449.4548482345,"$1,100,000","$1,452,449"
6 Harvie St,1467000.0,1293272.8639537364,"$1,467,000","$1,293,273"
24 Pepperell Av,1600000.0,1154240.0587333448,"$1,600,000","$1,154,240"
43 Ranfurlie Dr,1311000.0,1293272.8639537364,"$1,311,000","$1,293,273"
69A Maude Av,582000.0,669929.1904063979,"$582,000","$669,929"
29 Balerno Cir,536000.0,773768.7003864803,"$536,000","$773,769"
140 Gowanbrae Dr,696000.0,773768.7003864803,"$696,000","$773,769"
2 Akima Cl,757000.0,837019.1165446673,"$757,000","$837,019"
49 Albion Cr,860000.0,993439.7313478405,"$860,000","$993,440"
12 Armstrong St,768000.0,837019.1165446673,"$768,000","$837,019"
109 Delta Rd,812000.0,993439.7313478405,"$812,000","$993,440"
207 Hickling Av,782000.0,837019.1165446673,"$782,000","$837,019"
30 Kempston St,725000.0,837019.1165446673,"$725,000","$837,019"
2/18 Lorimer St,680000.0,993439.7313478405,"$680,000","$993,440"
13 Ridge Rd,882000.0,837019.1165446673,"$882,000","$837,019"
2 Wichill Cl,632000.0,695215.2003822936,"$632,000","$695,215"
4 Knole St,812000.0,1039242.3122753358,"$812,000","$1,039,242"
15 Regent St,837000.0,781696.7790511192,"$837,000","$781,697"
30 Tristan Ct,473000.0,781696.7790511192,"$473,000","$781,697"
21 Grout St,2288500.0,1426379.1461874628,"$2,288,500","$1,426,379"
307/427 Hampton St,750000.0,810507.761374946,"$750,000","$810,508"
2/2 Myrtle Rd,1510000.0,1231284.4244731886,"$1,510,000","$1,231,284"
229 Thomas St,1500000.0,1426379.1461874628,"$1,500,000","$1,426,379"
6/32 Berkeley St,855000.0,1105729.8919936824,"$855,000","$1,105,730"
5/35 Elphin Gr,490000.0,642883.933707333,"$490,000","$642,884"
1/472 Glenferrie Rd,620000.0,642883.933707333,"$620,000","$642,884"
9/578 Glenferrie Rd,600000.0,642883.933707333,"$600,000","$642,884"
10/48 Oxley Rd,975000.0,1105729.8919936824,"$975,000","$1,105,730"
9/106 Brown St,655000.0,519760.94459904946,"$655,000","$519,761"
7 Kent Ct,1420000.0,1264846.2131705594,"$1,420,000","$1,264,846"
44 Marie Av,786000.0,925490.1402427012,"$786,000","$925,490"
4 Spencer St,959000.0,925490.1402427012,"$959,000","$925,490"
1 Mulberry Pde,720000.0,854390.0947030999,"$720,000","$854,390"
2 Hazel Av,1322000.0,1277567.3045657503,"$1,322,000","$1,277,567"
5 Anastasia Ct,612500.0,665425.0047369901,"$612,500","$665,425"
8 Honeysuckle Av,630000.0,665425.0047369901,"$630,000","$665,425"
98 Barber Dr,715000.0,608610.6862666842,"$715,000","$608,611"
30 Elder Rd,686500.0,608610.6862666842,"$686,500","$608,611"
2 Arthur St,1065000.0,972949.973137178,"$1,065,000","$972,950"
6A Maroo St,1355000.0,1242505.6456548148,"$1,355,000","$1,242,506"
31 Berkeley St,1145000.0,1047380.1260274395,"$1,145,000","$1,047,380"
13 Dalveen Rd,792000.0,999670.9245772974,"$792,000","$999,671"
107 Ford St,1440000.0,1173233.829607686,"$1,440,000","$1,173,234"
3/6 Merton St,660000.0,562862.5201581146,"$660,000","$562,863"
4 Meryton La,1977000.0,1173233.829607686,"$1,977,000","$1,173,234"
81 The Boulevard,1840000.0,1173233.829607686,"$1,840,000","$1,173,234"
123 Valentine St,1275000.0,1500307.986622207,"$1,275,000","$1,500,308"
30 Townsend St,1781000.0,1416348.8137302322,"$1,781,000","$1,416,349"
42 Hales Cr,575000.0,625222.3869984034,"$575,000","$625,222"
14 Landy Rd,542000.0,625222.3869984034,"$542,000","$625,222"
18 Wimmera Cr,569000.0,647988.3198414339,"$569,000","$647,988"
3 Ash Gr,950000.0,748459.2458562459,"$950,000","$748,459"
20 Border Dr,850000.0,877562.1378383605,"$850,000","$877,562"
165 Sterling Dr,756000.0,748459.2458562459,"$756,000","$748,459"
42a Wonganella Dr,680000.0,630177.8606630738,"$680,000","$630,178"
14/8 Mawbey St,360000.0,435651.19416031474,"$360,000","$435,651"
202/60 Speakmen St,325000.0,435651.19416031474,"$325,000","$435,651"
141 Stockmans Wy,1103000.0,1645133.7949381673,"$1,103,000","$1,645,134"
123 The Crescent,901000.0,1063885.3537939081,"$901,000","$1,063,885"
4/178 Brougham St,653000.0,647589.4359444362,"$653,000","$647,589"
119 Derby St,2000000.0,1764693.68614303,"$2,000,000","$1,764,694"
10 Ferguson St,1610000.0,2233734.5625135093,"$1,610,000","$2,233,735"
9 Kellett Gr,2315000.0,2233734.5625135093,"$2,315,000","$2,233,735"
2 Lalla Ct,1050000.0,1764693.68614303,"$1,050,000","$1,764,694"
36 Normanby Rd,2155000.0,1764693.68614303,"$2,155,000","$1,764,694"
15/152 Princess St,830000.0,1110435.3942307853,"$830,000","$1,110,435"
6 Meldrum St,1770000.0,2172091.625231597,"$1,770,000","$2,172,092"
12 Warragamba Ct,600000.0,681586.0683231053,"$600,000","$681,586"
1 Hammersley Ct,592000.0,683431.7435144634,"$592,000","$683,432"
23 Lookout Ri,1120000.0,1070390.763907676,"$1,120,000","$1,070,391"
2/12 Oban Wy,710000.0,684832.913434064,"$710,000","$684,833"
62 Strathallan Rd,915000.0,852089.221556968,"$915,000","$852,089"
12/9 Ascot St,360000.0,464645.0297311344,"$360,000","$464,645"
21 Embling Rd,2400000.0,2494604.4477816573,"$2,400,000","$2,494,604"
9/423 Glenferrie Rd,1350000.0,1866029.455565141,"$1,350,000","$1,866,029"
6/12 Irving St,450000.0,464645.0297311344,"$450,000","$464,645"
12 Darling Rd,2000000.0,1504896.391908174,"$2,000,000","$1,504,896"
2/37 Darling Rd,1150000.0,1195717.8210453216,"$1,150,000","$1,195,718"
29 Hillsdale Av,813000.0,1026929.0627957238,"$813,000","$1,026,929"
11/97 Raleigh Rd,330000.0,437808.83606570243,"$330,000","$437,809"
7 Woodruff Av,1425000.0,1415270.6358242137,"$1,425,000","$1,415,271"
209/66 Bent St,875000.0,862208.4709251847,"$875,000","$862,208"
5 Fitzroy St,1265000.0,1014221.5427197949,"$1,265,000","$1,014,222"
48 Lees St,1200000.0,1204192.048481482,"$1,200,000","$1,204,192"
14 Ironbark Ct,520000.0,492426.88844123913,"$520,000","$492,427"
66/538 Little Lonsdale St,605000.0,677486.6573294797,"$605,000","$677,487"
814/70 Queens Rd,649000.0,677486.6573294797,"$649,000","$677,487"
13/30 Russell St,440000.0,479977.3239237061,"$440,000","$479,977"
19 Joan St,431000.0,457840.8252655231,"$431,000","$457,841"
13 Coolabah St,1300000.0,1008436.4215361293,"$1,300,000","$1,008,436"
5/30 Riviera St,337000.0,441097.74437096564,"$337,000","$441,098"
5 Vasari Gdns,525500.0,626521.2561353972,"$525,500","$626,521"
19/109 Nimmo St,800000.0,722633.5947533436,"$800,000","$722,634"
1/12 Buckmaster Dr,425000.0,608587.9814176288,"$425,000","$608,588"
33 Buckmaster Dr,595500.0,608587.9814176288,"$595,500","$608,588"
6 Hinkler Dr,660000.0,608587.9814176288,"$660,000","$608,588"
12 Milne St,1300000.0,954678.7363340755,"$1,300,000","$954,679"
16 Davey Rd,820000.0,837019.1165446673,"$820,000","$837,019"
373 Main Rd,725000.0,837019.1165446673,"$725,000","$837,019"
67 Bowen St,1180000.0,999670.9245772974,"$1,180,000","$999,671"
1 Lawson St,910000.0,999670.9245772974,"$910,000","$999,671"
33 Lennox St,887500.0,1173233.829607686,"$887,500","$1,173,234"
6 Lethbridge St,1143000.0,1173233.829607686,"$1,143,000","$1,173,234"
22 Scotia St,1117500.0,1173233.829607686,"$1,117,500","$1,173,234"
51 Wordsworth St,1330000.0,1173233.829607686,"$1,330,000","$1,173,234"
14 Gwenda Av,800000.0,867651.3756050426,"$800,000","$867,651"
52 Marrbridge Rd,1410000.0,1291541.1479483016,"$1,410,000","$1,291,541"
2/1015 Nepean Hwy,457500.0,610998.9854596057,"$457,500","$610,999"
5 Chaucer St,778000.0,677535.9974337895,"$778,000","$677,536"
2/144 Chute St,822000.0,824685.378675062,"$822,000","$824,685"
8 Rivette St,895000.0,882857.4778936215,"$895,000","$882,857"
1 Winterset Cl,1300000.0,1008436.4215361293,"$1,300,000","$1,008,436"
4/1 Adrienne Cr,568888.0,672144.5077630535,"$568,888","$672,145"
16 Amber Gr,3105000.0,1579411.3306386194,"$3,105,000","$1,579,411"
7 Bambra Ct,1500000.0,1366877.0934731285,"$1,500,000","$1,366,877"
5 Byrd Ct,1030000.0,911174.6193219292,"$1,030,000","$911,175"
7 Larch Cr,1275000.0,1366877.0934731285,"$1,275,000","$1,366,877"
9 Larch Cr,1360000.0,1171751.5738457527,"$1,360,000","$1,171,752"
44 Smyth St,980000.0,1366877.0934731285,"$980,000","$1,366,877"
13 Toirram Rd,1601000.0,1579411.3306386194,"$1,601,000","$1,579,411"
8 Wadham Pde,1780000.0,1366877.0934731285,"$1,780,000","$1,366,877"
20 Brunton Cr,630000.0,891407.8765647175,"$630,000","$891,408"
2 Cooley La,925000.0,971156.5767861675,"$925,000","$971,157"
8 Dirkala Ct,868000.0,891407.8765647175,"$868,000","$891,408"
4 Fiji Ct,880000.0,1130333.1676806652,"$880,000","$1,130,333"
35 Merrill St,920000.0,891407.8765647175,"$920,000","$891,408"
11 Adams St,1550000.0,1571499.5476757681,"$1,550,000","$1,571,500"
1/11 Howe St,720000.0,614320.5223216215,"$720,000","$614,321"
1/5 Murrumbeena Rd,586500.0,614320.5223216215,"$586,500","$614,321"
7 Feldspar Ct,551000.0,646264.5065963152,"$551,000","$646,265"
13 Greg Ct,510000.0,730424.6607686923,"$510,000","$730,425"
313 Douglas Pde,1032000.0,938836.2298139746,"$1,032,000","$938,836"
18 Latrobe St,1270000.0,1112399.1348443634,"$1,270,000","$1,112,399"
2 Parramatta Cr,710000.0,790260.9367970334,"$710,000","$790,261"
18 Molesworth St,1815000.0,1971185.4345398268,"$1,815,000","$1,971,185"
2/150 Peel St,420000.0,479977.3239237061,"$420,000","$479,977"
268 Clarke St,1200000.0,1040539.9851232731,"$1,200,000","$1,040,540"
4/54 Cunningham St,345000.0,405019.00021397474,"$345,000","$405,019"
3/49 James St,1075000.0,981451.2113366483,"$1,075,000","$981,451"
72 Thomson St,1332000.0,1228892.7358577584,"$1,332,000","$1,228,893"
16 Heather Gr,685000.0,1049655.6574097697,"$685,000","$1,049,656"
14 Laughlin Av,1185000.0,1049655.6574097697,"$1,185,000","$1,049,656"
15 Suffolk St,806000.0,1049655.6574097697,"$806,000","$1,049,656"
18 Kerr Av,857000.0,781696.7790511192,"$857,000","$781,697"
11 Vincent St,945000.0,1039242.3122753358,"$945,000","$1,039,242"
5/28 Devon Gr,986000.0,1086693.3697107162,"$986,000","$1,086,693"
19 Delos St,1120000.0,859527.4405526986,"$1,120,000","$859,527"
1/1 Wallace Av,710000.0,782640.3015909463,"$710,000","$782,640"
10/30 Lillimur Rd,420000.0,612954.4915497481,"$420,000","$612,954"
8/38 Lillimur Rd,490000.0,612954.4915497481,"$490,000","$612,954"
2/31 Wheeler St,1100000.0,1007107.6027693289,"$1,100,000","$1,007,108"
24 Osborn Gr,378000.0,655310.6808632171,"$378,000","$655,311"
5 Fourth St,1260000.0,992392.2178857006,"$1,260,000","$992,392"
